CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	33	20	62.26	53
2	4	12	25.00	16
3	2	13	13.33	15
4	7	12	36.84	19
5	9	7	56.25	16
6	5	14	26.32	19
7	3	12	20.00	15
8	4	9	30.77	13
9	5	5	50.00	10
10	5	6	45.45	11
11	3	0	100.00	3
12	8	6	57.14	14
13	5	4	55.56	9
14	2	1	66.67	3
15	2	2	50.00	4
16	3	3	50.00	6
17	3	1	75.00	4
18	2	2	50.00	4
19	0	0		0
20	1	0	100.00	1
21	0	2	0.00	2
22	1	0	100.00	1
23	2	0	100.00	2
24	1	0	100.00	1
25	0	0		0
26	2	0	100.00	2
27	0	0		0
28	0	0		0
29	0	0		0
30	0	0		0

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	44	19	69.84	63
2	50	28	64.10	78
3	11	12	47.83	23
4	6	4	60.00	10
5	8	5	61.54	13
6	34	8	80.95	42
7	20	7	74.07	27
8	12	7	63.16	19
9	12	9	57.14	21
10	11	3	78.57	14
11	6	6	50.00	12
12	3	5	37.50	8
13	11	3	78.57	14
14	9	3	75.00	12
15	4	1	80.00	5
16	5	4	55.56	9
17	12	1	92.31	13
18	7	0	100.00	7
19	3	0	100.00	3
20	2	3	40.00	5
21	1	1	50.00	2
22	1	2	33.33	3
23	1	0	100.00	1
24	0	0		0
25	2	0	100.00	2
26	0	0		0
27	0	0		0
28	0	0		0
29	0	1	0.00	1
30	0	0		0

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	578	117	83.17	695
2	556	185	75.03	741
3	435	258	62.77	693
4	534	240	68.99	774
5	550	192	74.12	742
6	521	184	73.90	705
7	477	237	66.81	714
8	487	193	71.62	680
9	466	161	74.32	627
10	391	188	67.53	579
11	414	125	76.81	539
12	313	100	75.79	413
13	303	98	75.56	401
14	221	110	66.77	331
15	166	67	71.24	233
16	144	44	76.60	188
17	127	36	77.91	163
18	90	60	60.00	150
19	104	40	72.22	144
20	46	17	73.02	63
21	48	15	76.19	63
22	21	16	56.76	37
23	11	5	68.75	16
24	3	0	100.00	3
25	13	2	86.67	15
26	13	0	100.00	13
27	7	1	87.50	8
28	6	11	35.29	17
29	16	0	100.00	16
30	0	2	0.00	2

